year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1986,Mid-year population, age 0 years, by sex,180700.0
1987,Mid-year population, age 0 years, by sex,184700.0
1988,Mid-year population, age 0 years, by sex,185800.0
1989,Mid-year population, age 0 years, by sex,187000.0
1990,Mid-year population, age 0 years, by sex,192400.0
1991,Mid-year population, age 0 years, by sex,197600.0
1992,Mid-year population, age 0 years, by sex,196900.0
1993,Mid-year population, age 0 years, by sex,195500.0
1994,Mid-year population, age 0 years, by sex,195500.0
1995,Mid-year population, age 0 years, by sex,193400.0
1996,Mid-year population, age 0 years, by sex,190400.0
1997,Mid-year population, age 0 years, by sex,191300.0
1998,Mid-year population, age 0 years, by sex,196000.0
1999,Mid-year population, age 0 years, by sex,200800.0
2000,Mid-year population, age 0 years, by sex,204423.0
2001,Mid-year population, age 0 years, by sex,205568.0
2002,Mid-year population, age 0 years, by sex,203213.0
2003,Mid-year population, age 0 years, by sex,201584.0
2004,Mid-year population, age 0 years, by sex,197272.0
2005,Mid-year population, age 0 years, by sex,190472.0
2006,Mid-year population, age 0 years, by sex,185803.0
2007,Mid-year population, age 0 years, by sex,182594.0
2008,Mid-year population, age 0 years, by sex,182586.0
2009,Mid-year population, age 0 years, by sex,184498.0
2010,Mid-year population, age 0 years, by sex,184297.0
2011,Mid-year population, age 0 years, by sex,181831.0
2012,Mid-year population, age 0 years, by sex,177620.0
2013,Mid-year population, age 0 years, by sex,173270.0
2014,Mid-year population, age 0 years, by sex,172818.0
2015,Mid-year population, age 0 years, by sex,172511.0
2016,Mid-year population, age 0 years, by sex,171315.0
2017,Mid-year population, age 0 years, by sex,170927.0
2018,Mid-year population, age 0 years, by sex,169005.0
2019,Mid-year population, age 0 years, by sex,168970.0
2020,Mid-year population, age 0 years, by sex,168475.5
1950,Mid-year population, age 0 years, by sex,61400.0
1951,Mid-year population, age 0 years, by sex,60200.0
1952,Mid-year population, age 0 years, by sex,60300.0
1953,Mid-year population, age 0 years, by sex,61500.0
1954,Mid-year population, age 0 years, by sex,61800.0
1955,Mid-year population, age 0 years, by sex,62100.0
1956,Mid-year population, age 0 years, by sex,62700.0
1957,Mid-year population, age 0 years, by sex,62600.0
1958,Mid-year population, age 0 years, by sex,61900.0
1959,Mid-year population, age 0 years, by sex,61900.0
1960,Mid-year population, age 0 years, by sex,61500.0
1961,Mid-year population, age 0 years, by sex,61100.0
1962,Mid-year population, age 0 years, by sex,61500.0
1963,Mid-year population, age 0 years, by sex,61900.0
1964,Mid-year population, age 0 years, by sex,63500.0
1965,Mid-year population, age 0 years, by sex,65000.0
1966,Mid-year population, age 0 years, by sex,65700.0
1967,Mid-year population, age 0 years, by sex,66100.0
1968,Mid-year population, age 0 years, by sex,66000.0
1969,Mid-year population, age 0 years, by sex,66700.0
1970,Mid-year population, age 0 years, by sex,65500.0
1971,Mid-year population, age 0 years, by sex,64500.0
1972,Mid-year population, age 0 years, by sex,64300.0
1973,Mid-year population, age 0 years, by sex,60700.0
1974,Mid-year population, age 0 years, by sex,60000.0
1975,Mid-year population, age 0 years, by sex,57500.0
1976,Mid-year population, age 0 years, by sex,54500.0
1977,Mid-year population, age 0 years, by sex,51900.0
1978,Mid-year population, age 0 years, by sex,51100.0
1979,Mid-year population, age 0 years, by sex,51400.0
1980,Mid-year population, age 0 years, by sex,51000.0
1981,Mid-year population, age 0 years, by sex,50600.0
1982,Mid-year population, age 0 years, by sex,50800.0
1983,Mid-year population, age 0 years, by sex,50300.0
1984,Mid-year population, age 0 years, by sex,49900.0
1985,Mid-year population, age 0 years, by sex,50500.0
1986,Mid-year population, age 0 years, by sex,51600.0
1987,Mid-year population, age 0 years, by sex,53100.0
1988,Mid-year population, age 0 years, by sex,55600.0
1989,Mid-year population, age 0 years, by sex,58100.0
1990,Mid-year population, age 0 years, by sex,59900.0
1991,Mid-year population, age 0 years, by sex,60600.0
1992,Mid-year population, age 0 years, by sex,60300.0
1993,Mid-year population, age 0 years, by sex,59800.0
1994,Mid-year population, age 0 years, by sex,59800.0
1995,Mid-year population, age 0 years, by sex,60100.0
1996,Mid-year population, age 0 years, by sex,60500.0
1997,Mid-year population, age 0 years, by sex,60200.0
1998,Mid-year population, age 0 years, by sex,59000.0
1999,Mid-year population, age 0 years, by sex,58828.0
2000,Mid-year population, age 0 years, by sex,59283.0
2001,Mid-year population, age 0 years, by sex,57950.0
2002,Mid-year population, age 0 years, by sex,56164.0
2003,Mid-year population, age 0 years, by sex,56110.0
2004,Mid-year population, age 0 years, by sex,56847.0
2005,Mid-year population, age 0 years, by sex,57034.0
2006,Mid-year population, age 0 years, by sex,57852.0
2007,Mid-year population, age 0 years, by sex,58679.0
2008,Mid-year population, age 0 years, by sex,59650.0
2009,Mid-year population, age 0 years, by sex,61368.5
2010,Mid-year population, age 0 years, by sex,61859.0
2011,Mid-year population, age 0 years, by sex,61060.0
2012,Mid-year population, age 0 years, by sex,60498.0
2013,Mid-year population, age 0 years, by sex,59932.5
2014,Mid-year population, age 0 years, by sex,59359.0
2015,Mid-year population, age 0 years, by sex,59390.0
2016,Mid-year population, age 0 years, by sex,59365.5
2017,Mid-year population, age 0 years, by sex,58150.0
2018,Mid-year population, age 0 years, by sex,56178.0
2019,Mid-year population, age 0 years, by sex,55109.0
2020,Mid-year population, age 0 years, by sex,53980.5
1950,Mid-year population, age 0 years, by sex,661700.0
1951,Mid-year population, age 0 years, by sex,708200.0
1952,Mid-year population, age 0 years, by sex,720900.0
1953,Mid-year population, age 0 years, by sex,725900.0
1954,Mid-year population, age 0 years, by sex,731200.0
1955,Mid-year population, age 0 years, by sex,738500.0
1956,Mid-year population, age 0 years, by sex,741900.0
1957,Mid-year population, age 0 years, by sex,739300.0
1958,Mid-year population, age 0 years, by sex,741200.0
1959,Mid-year population, age 0 years, by sex,713100.0
1960,Mid-year population, age 0 years, by sex,671000.0
1961,Mid-year population, age 0 years, by sex,629200.0
1962,Mid-year population, age 0 years, by sex,599600.0
1963,Mid-year population, age 0 years, by sex,583800.0
1964,Mid-year population, age 0 years, by sex,565000.0
1965,Mid-year population, age 0 years, by sex,548300.0
1966,Mid-year population, age 0 years, by sex,534400.0
1967,Mid-year population, age 0 years, by sex,526700.0
1968,Mid-year population, age 0 years, by sex,520400.0
1969,Mid-year population, age 0 years, by sex,529000.0
1970,Mid-year population, age 0 years, by sex,509400.0
1971,Mid-year population, age 0 years, by sex,535800.0
1972,Mid-year population, age 0 years, by sex,549500.0
1973,Mid-year population, age 0 years, by sex,563500.0
1974,Mid-year population, age 0 years, by sex,595000.0
1975,Mid-year population, age 0 years, by sex,629800.0
1976,Mid-year population, age 0 years, by sex,651800.0
1977,Mid-year population, age 0 years, by sex,664100.0
1978,Mid-year population, age 0 years, by sex,662000.0
1979,Mid-year population, age 0 years, by sex,675500.0
1980,Mid-year population, age 0 years, by sex,689200.0
1981,Mid-year population, age 0 years, by sex,678600.0
1982,Mid-year population, age 0 years, by sex,682300.0
1983,Mid-year population, age 0 years, by sex,704900.0
1984,Mid-year population, age 0 years, by sex,709900.0
1985,Mid-year population, age 0 years, by sex,686600.0
1986,Mid-year population, age 0 years, by sex,657100.0
1987,Mid-year population, age 0 years, by sex,613900.0
1988,Mid-year population, age 0 years, by sex,597600.0
1989,Mid-year population, age 0 years, by sex,572900.0
1990,Mid-year population, age 0 years, by sex,552500.0
1991,Mid-year population, age 0 years, by sex,544700.0
1992,Mid-year population, age 0 years, by sex,527000.0
1993,Mid-year population, age 0 years, by sex,498300.0
1994,Mid-year population, age 0 years, by sex,484700.0
1995,Mid-year population, age 0 years, by sex,449300.0
1996,Mid-year population, age 0 years, by sex,427500.0
1997,Mid-year population, age 0 years, by sex,422000.0
1998,Mid-year population, age 0 years, by sex,402100.0
1999,Mid-year population, age 0 years, by sex,387300.0
2000,Mid-year population, age 0 years, by sex,385465.0
2001,Mid-year population, age 0 years, by sex,372780.0
2002,Mid-year population, age 0 years, by sex,358109.0
2003,Mid-year population, age 0 years, by sex,349530.0
2004,Mid-year population, age 0 years, by sex,352566.0
2005,Mid-year population, age 0 years, by sex,360865.0
2006,Mid-year population, age 0 years, by sex,366586.0
2007,Mid-year population, age 0 years, by sex,378014.0
2008,Mid-year population, age 0 years, by sex,397275.0
2009,Mid-year population, age 0 years, by sex,424772.0
2010,Mid-year population, age 0 years, by sex,410544.0
2011,Mid-year population, age 0 years, by sex,381807.0
2012,Mid-year population, age 0 years, by sex,381337.0
2013,Mid-year population, age 0 years, by sex,365524.0
2014,Mid-year population, age 0 years, by sex,360985.0
2015,Mid-year population, age 0 years, by sex,362902.0
2016,Mid-year population, age 0 years, by sex,365869.0
2017,Mid-year population, age 0 years, by sex,389523.0
2018,Mid-year population, age 0 years, by sex,368509.0
2019,Mid-year population, age 0 years, by sex,368509.0
1950,Mid-year population, age 0 years, by sex,174100.0
1951,Mid-year population, age 0 years, by sex,187700.0
1952,Mid-year population, age 0 years, by sex,196500.0
1953,Mid-year population, age 0 years, by sex,190000.0
1954,Mid-year population, age 0 years, by sex,184600.0
1955,Mid-year population, age 0 years, by sex,188800.0
1956,Mid-year population, age 0 years, by sex,196500.0
1957,Mid-year population, age 0 years, by sex,194400.0
1958,Mid-year population, age 0 years, by sex,193500.0
1959,Mid-year population, age 0 years, by sex,200900.0
1960,Mid-year population, age 0 years, by sex,187800.0
1961,Mid-year population, age 0 years, by sex,203900.0
1962,Mid-year population, age 0 years, by sex,207600.0
1963,Mid-year population, age 0 years, by sex,200400.0
1964,Mid-year population, age 0 years, by sex,204600.0
1965,Mid-year population, age 0 years, by sex,197600.0
1966,Mid-year population, age 0 years, by sex,193500.0
1967,Mid-year population, age 0 years, by sex,189400.0
1968,Mid-year population, age 0 years, by sex,181800.0
1969,Mid-year population, age 0 years, by sex,176400.0
1970,Mid-year population, age 0 years, by sex,143400.0
1971,Mid-year population, age 0 years, by sex,180800.0
1972,Mid-year population, age 0 years, by sex,166900.0
1973,Mid-year population, age 0 years, by sex,165300.0
1974,Mid-year population, age 0 years, by sex,164600.0
1975,Mid-year population, age 0 years, by sex,184700.0
1976,Mid-year population, age 0 years, by sex,177000.0
1977,Mid-year population, age 0 years, by sex,178200.0
1978,Mid-year population, age 0 years, by sex,179200.0
1979,Mid-year population, age 0 years, by sex,180000.0
1980,Mid-year population, age 0 years, by sex,156500.0
1981,Mid-year population, age 0 years, by sex,147800.0
1982,Mid-year population, age 0 years, by sex,148900.0
1983,Mid-year population, age 0 years, by sex,144800.0
1984,Mid-year population, age 0 years, by sex,140800.0
1985,Mid-year population, age 0 years, by sex,134032.0
1986,Mid-year population, age 0 years, by sex,125445.0
1987,Mid-year population, age 0 years, by sex,121006.0
1988,Mid-year population, age 0 years, by sex,117668.0
1989,Mid-year population, age 0 years, by sex,115520.0
1990,Mid-year population, age 0 years, by sex,111944.0
1991,Mid-year population, age 0 years, by sex,111848.0
1992,Mid-year population, age 0 years, by sex,113784.0
1993,Mid-year population, age 0 years, by sex,112889.0
1994,Mid-year population, age 0 years, by sex,110231.0
1995,Mid-year population, age 0 years, by sex,107068.0
1996,Mid-year population, age 0 years, by sex,107547.0
1997,Mid-year population, age 0 years, by sex,109969.0
1998,Mid-year population, age 0 years, by sex,111310.0
1999,Mid-year population, age 0 years, by sex,112965.0
2000,Mid-year population, age 0 years, by sex,114394.0
2001,Mid-year population, age 0 years, by sex,113429.0
2002,Mid-year population, age 0 years, by sex,113110.0
2003,Mid-year population, age 0 years, by sex,112930.0
2004,Mid-year population, age 0 years, by sex,110420.0
2005,Mid-year population, age 0 years, by sex,108883.0
2006,Mid-year population, age 0 years, by sex,107020.0
2007,Mid-year population, age 0 years, by sex,103560.0
2008,Mid-year population, age 0 years, by sex,102898.0
2009,Mid-year population, age 0 years, by sex,101253.0
2010,Mid-year population, age 0 years, by sex,99626.0
2011,Mid-year population, age 0 years, by sex,98098.0
2012,Mid-year population, age 0 years, by sex,92652.0
2013,Mid-year population, age 0 years, by sex,86132.0
2014,Mid-year population, age 0 years, by sex,82465.0
2015,Mid-year population, age 0 years, by sex,83895.5
2016,Mid-year population, age 0 years, by sex,86301.0
2017,Mid-year population, age 0 years, by sex,86665.5
2018,Mid-year population, age 0 years, by sex,86610.5
1955,Mid-year population, age 0 years, by sex,408200.0
1956,Mid-year population, age 0 years, by sex,388300.0
1957,Mid-year population, age 0 years, by sex,374300.0
1958,Mid-year population, age 0 years, by sex,363000.0
1959,Mid-year population, age 0 years, by sex,339700.0
1960,Mid-year population, age 0 years, by sex,325600.0
1961,Mid-year population, age 0 years, by sex,321900.0
1962,Mid-year population, age 0 years, by sex,299600.0
1963,Mid-year population, age 0 years, by sex,286900.0
1964,Mid-year population, age 0 years, by sex,281000.0
1965,Mid-year population, age 0 years, by sex,276400.0
1966,Mid-year population, age 0 years, by sex,270000.0
1967,Mid-year population, age 0 years, by sex,384900.0
1968,Mid-year population, age 0 years, by sex,494800.0
1969,Mid-year population, age 0 years, by sex,478500.0
1970,Mid-year population, age 0 years, by sex,434200.0
1971,Mid-year population, age 0 years, by sex,394900.0
1972,Mid-year population, age 0 years, by sex,382700.0
1973,Mid-year population, age 0 years, by sex,369500.0
1974,Mid-year population, age 0 years, by sex,387500.0
1975,Mid-year population, age 0 years, by sex,403700.0
1976,Mid-year population, age 0 years, by sex,404200.0
1977,Mid-year population, age 0 years, by sex,410800.0
1978,Mid-year population, age 0 years, by sex,404000.0
1979,Mid-year population, age 0 years, by sex,400300.0
1980,Mid-year population, age 0 years, by sex,393800.0
